출하일자,품종대분류,품종소분류,신고소,출하량
2022-12-09,감귤류,노지온주,성산항,0
2022-12-09,감귤류,월동온주,제주공항,0.39
2022-12-09,감귤류,월동온주,제주항,0
2022-12-09,감귤류,월동온주,서귀포항,0
2022-12-09,감귤류,월동온주,한림항,0
2022-12-09,감귤류,월동온주,애월항,0
2022-12-09,감귤류,월동온주,성산항,0
2022-12-09,만감류,레드향,제주공항,0.13
2022-12-09,만감류,레드향,제주항,0.81
2022-12-09,만감류,레드향,서귀포항,0
2022-12-09,만감류,레드향,한림항,0
2022-12-09,만감류,레드향,애월항,0
2022-12-09,만감류,레드향,성산항,0
2022-12-09,만감류,한라봉,제주공항,1.26
2022-12-09,만감류,한라봉,제주항,2
2022-12-09,만감류,한라봉,서귀포항,0
2022-12-09,만감류,한라봉,한림항,0
2022-12-09,만감류,한라봉,애월항,0
2022-12-09,만감류,한라봉,성산항,0
2022-12-10,감귤류,노지온주,제주공항,4.34
2022-12-10,감귤류,노지온주,제주항,"1,031.74"
2022-12-10,감귤류,노지온주,서귀포항,0
2022-12-10,감귤류,노지온주,한림항,23.06
2022-12-10,감귤류,노지온주,애월항,0
2022-12-10,감귤류,노지온주,성산항,539.33
2022-12-10,만감류,레드향,제주공항,0
2022-12-10,만감류,레드향,제주항,9.11
2022-12-10,만감류,레드향,서귀포항,0
2022-12-10,만감류,레드향,한림항,0
2022-12-10,만감류,레드향,애월항,0
2022-12-10,만감류,레드향,성산항,11.59
2022-12-10,만감류,천혜향,제주공항,0
2022-12-10,만감류,천혜향,제주항,0.34
2022-12-10,만감류,천혜향,서귀포항,0
2022-12-10,만감류,천혜향,한림항,0
2022-12-10,만감류,천혜향,애월항,0
2022-12-10,만감류,천혜향,성산항,10.6
2022-12-10,만감류,한라봉,제주공항,0
2022-12-10,만감류,한라봉,제주항,7.09
2022-12-10,만감류,한라봉,서귀포항,0
2022-12-10,만감류,한라봉,한림항,0.79
2022-12-10,만감류,한라봉,애월항,0
2022-12-10,만감류,한라봉,성산항,8.48
2022-12-11,감귤류,노지온주,제주공항,16.1
2022-12-11,감귤류,노지온주,제주항,"1,657.11"
2022-12-11,감귤류,노지온주,서귀포항,0
2022-12-11,감귤류,노지온주,한림항,99.51
2022-12-11,감귤류,노지온주,애월항,0
2022-12-11,감귤류,노지온주,성산항,450.34
2022-12-11,감귤류,월동온주,제주공항,0
2022-12-11,감귤류,월동온주,제주항,0.61
2022-12-11,감귤류,월동온주,서귀포항,0
2022-12-11,감귤류,월동온주,한림항,0
2022-12-11,감귤류,월동온주,애월항,0
2022-12-11,감귤류,월동온주,성산항,0
2022-12-11,만감류,레드향,제주공항,0.16
2022-12-11,만감류,레드향,제주항,16.96
2022-12-11,만감류,레드향,서귀포항,0
2022-12-11,만감류,레드향,한림항,0.32
2022-12-11,만감류,레드향,애월항,0
2022-12-11,만감류,레드향,성산항,10.85
2022-12-11,만감류,천혜향,제주공항,0
2022-12-11,만감류,천혜향,제주항,0
2022-12-11,만감류,천혜향,서귀포항,0
2022-12-11,만감류,천혜향,한림항,0
2022-12-11,만감류,천혜향,애월항,0
2022-12-11,만감류,천혜향,성산항,4.82
2022-12-11,만감류,한라봉,제주공항,0.76
2022-12-11,만감류,한라봉,제주항,24.44
2022-12-11,만감류,한라봉,서귀포항,0
2022-12-11,만감류,한라봉,한림항,2.87
2022-12-11,만감류,한라봉,애월항,0
2022-12-11,만감류,한라봉,성산항,16.72
2022-12-12,감귤류,노지온주,제주공항,15.64
2022-12-12,감귤류,노지온주,제주항,"1,689.03"
2022-12-12,감귤류,노지온주,서귀포항,0
2022-12-12,감귤류,노지온주,한림항,43.04
2022-12-12,감귤류,노지온주,애월항,0
2022-12-12,감귤류,노지온주,성산항,503.78
2022-12-12,만감류,레드향,제주공항,0.76
2022-12-12,만감류,레드향,제주항,23.82
2022-12-12,만감류,레드향,서귀포항,0
2022-12-12,만감류,레드향,한림항,0.64
2022-12-12,만감류,레드향,애월항,0
2022-12-12,만감류,레드향,성산항,10.55
2022-12-12,만감류,천혜향,제주공항,0
2022-12-12,만감류,천혜향,제주항,0
2022-12-12,만감류,천혜향,서귀포항,0
2022-12-12,만감류,천혜향,한림항,0
2022-12-12,만감류,천혜향,애월항,0
2022-12-12,만감류,천혜향,성산항,5.82
2022-12-12,만감류,한라봉,제주공항,0.79
2022-12-12,만감류,한라봉,제주항,16
2022-12-12,만감류,한라봉,서귀포항,0
2022-12-12,만감류,한라봉,한림항,0.65
2022-12-12,만감류,한라봉,애월항,0
2022-12-12,만감류,한라봉,성산항,14.16
2022-12-13,감귤류,노지온주,제주공항,18.87
2022-12-13,감귤류,노지온주,제주항,"1,386.34"
2022-12-13,감귤류,노지온주,서귀포항,0
2022-12-13,감귤류,노지온주,한림항,32.36
2022-12-13,감귤류,노지온주,애월항,0
2022-12-13,감귤류,노지온주,성산항,382.77
2022-12-13,만감류,레드향,제주공항,0.59
2022-12-13,만감류,레드향,제주항,16.41
2022-12-13,만감류,레드향,서귀포항,0
2022-12-13,만감류,레드향,한림항,0
2022-12-13,만감류,레드향,애월항,0
2022-12-13,만감류,레드향,성산항,9.95
2022-12-13,만감류,천혜향,제주공항,0
2022-12-13,만감류,천혜향,제주항,1.26
2022-12-13,만감류,천혜향,서귀포항,0
2022-12-13,만감류,천혜향,한림항,0
2022-12-13,만감류,천혜향,애월항,0
2022-12-13,만감류,천혜향,성산항,2.42
2022-12-13,만감류,한라봉,제주공항,0.55
2022-12-13,만감류,한라봉,제주항,13.53
2022-12-13,만감류,한라봉,서귀포항,0
2022-12-13,만감류,한라봉,한림항,0.65
2022-12-13,만감류,한라봉,애월항,0
2022-12-13,만감류,한라봉,성산항,12.56
2022-12-14,감귤류,노지온주,제주공항,8.25
2022-12-14,감귤류,노지온주,제주항,"1,715.65"
2022-12-14,감귤류,노지온주,서귀포항,0
2022-12-14,감귤류,노지온주,한림항,50.68
2022-12-14,감귤류,노지온주,애월항,0
2022-12-14,감귤류,노지온주,성산항,387.08
2022-12-14,감귤류,월동온주,제주공항,0
2022-12-14,감귤류,월동온주,제주항,0
2022-12-14,감귤류,월동온주,서귀포항,0
2022-12-14,감귤류,월동온주,한림항,0
2022-12-14,감귤류,월동온주,애월항,0
2022-12-14,감귤류,월동온주,성산항,1.09
2022-12-14,만감류,레드향,제주공항,0.36
2022-12-14,만감류,레드향,제주항,20.06
2022-12-14,만감류,레드향,서귀포항,0
2022-12-14,만감류,레드향,한림항,0
2022-12-14,만감류,레드향,애월항,0
2022-12-14,만감류,레드향,성산항,14.4
2022-12-14,만감류,천혜향,제주공항,0
2022-12-14,만감류,천혜향,제주항,0.66
2022-12-14,만감류,천혜향,서귀포항,0
2022-12-14,만감류,천혜향,한림항,0
2022-12-14,만감류,천혜향,애월항,0
2022-12-14,만감류,천혜향,성산항,2.14
2022-12-14,만감류,한라봉,제주공항,0.39
2022-12-14,만감류,한라봉,제주항,25.88
2022-12-14,만감류,한라봉,서귀포항,0
2022-12-14,만감류,한라봉,한림항,0
2022-12-14,만감류,한라봉,애월항,0
2022-12-14,만감류,한라봉,성산항,10.91
2022-12-15,감귤류,노지온주,제주공항,14.23
2022-12-15,감귤류,노지온주,제주항,"1,394.43"
2022-12-15,감귤류,노지온주,서귀포항,0
2022-12-15,감귤류,노지온주,한림항,38.91
2022-12-15,감귤류,노지온주,애월항,0
2022-12-15,감귤류,노지온주,성산항,312.3
2022-12-15,감귤류,월동온주,제주공항,0
2022-12-15,감귤류,월동온주,제주항,1.06
2022-12-15,감귤류,월동온주,서귀포항,0
2022-12-15,감귤류,월동온주,한림항,0
2022-12-15,감귤류,월동온주,애월항,0
2022-12-15,감귤류,월동온주,성산항,1.07
2022-12-15,만감류,레드향,제주공항,0.61
2022-12-15,만감류,레드향,제주항,14.81
2022-12-15,만감류,레드향,서귀포항,0
2022-12-15,만감류,레드향,한림항,0.57
2022-12-15,만감류,레드향,애월항,0
2022-12-15,만감류,레드향,성산항,10.09
2022-12-15,만감류,천혜향,제주공항,0
2022-12-15,만감류,천혜향,제주항,0.1
2022-12-15,만감류,천혜향,서귀포항,0
2022-12-15,만감류,천혜향,한림항,0
2022-12-15,만감류,천혜향,애월항,0
2022-12-15,만감류,천혜향,성산항,0.6
2022-12-15,만감류,한라봉,제주공항,0.09
2022-12-15,만감류,한라봉,제주항,19.13
2022-12-15,만감류,한라봉,서귀포항,0
2022-12-15,만감류,한라봉,한림항,1.34
2022-12-15,만감류,한라봉,애월항,0
2022-12-15,만감류,한라봉,성산항,10.38
2022-12-16,감귤류,노지온주,제주공항,20.51
2022-12-16,감귤류,노지온주,제주항,"1,294.43"
2022-12-16,감귤류,노지온주,서귀포항,0
2022-12-16,감귤류,노지온주,한림항,0
2022-12-16,감귤류,노지온주,애월항,0
2022-12-16,감귤류,노지온주,성산항,0
2022-12-16,만감류,레드향,제주공항,0.61
2022-12-16,만감류,레드향,제주항,15.91
2022-12-16,만감류,레드향,서귀포항,0
2022-12-16,만감류,레드향,한림항,0
2022-12-16,만감류,레드향,애월항,0
2022-12-16,만감류,레드향,성산항,0
2022-12-16,만감류,한라봉,제주공항,0.78
2022-12-16,만감류,한라봉,제주항,18.14
2022-12-16,만감류,한라봉,서귀포항,0
2022-12-16,만감류,한라봉,한림항,0
2022-12-16,만감류,한라봉,애월항,0
2022-12-16,만감류,한라봉,성산항,0
2022-12-17,감귤류,노지온주,제주공항,6.57
2022-12-17,감귤류,노지온주,제주항,642.09
2022-12-17,감귤류,노지온주,서귀포항,0
